#chrom	start	end
hs1	11371785	13388077
hs1	36598467	36613024
hs1	48356657	48695878
hs1	52024119	57999533
hs1	69294411	72439578
hs1	72292041	72563333
hs1	74448239	84435815
hs1	102461638	105571334
hs1	107830596	109347192
hs1	168629424	168636621
hs1	171238563	173600992
hs1	191339080	191374885
hs1	234626324	236265874
hs1	245853444	245891563
hs2	35613572	43277638
hs2	44139576	45479449
hs2	50084799	50088015
hs2	57208660	57214772
hs2	57236407	65053760
hs2	66836949	69482803
hs2	68967494	72442880
hs2	76928048	77108009
hs2	88412299	89040624
hs2	103461161	103462892
hs2	121290797	121293605
hs2	134715327	135631060
hs2	138087945	143578334
hs2	141991089	141999488
hs2	148027884	148106260
hs2	148479189	148530761
hs2	208552000	209806902
hs2	210932296	211021063
hs2	215243454	215256946
hs2	232713558	237288321
hs3	3903805	5494676
hs3	17392005	17447803
hs3	39835571	39955984
hs3	48636539	48698149
hs3	67905262	67909269
hs3	82035360	82874424
hs3	83960949	83964211
hs3	102775543	110110174
hs3	112694915	119729382
hs3	115686115	115691678
hs3	126011697	126058001
hs3	145634235	151551057
hs3	169019912	169029221
hs3	174067967	174992643
hs3	179959393	183334328
hs3	192080134	193972184
hs4	34386322	34403666
hs4	34401840	34418932
hs4	34627681	34628300
hs4	34681878	34687040
hs4	36121587	37052258
hs4	42466436	46322470
hs4	42745026	47936080
hs4	60896454	61217011
hs4	76637883	78875952
hs4	89369754	89466154
hs4	132209979	132357087
hs4	147835942	150028526
hs4	150279424	150340784
hs4	152460612	156700314
hs4	177347692	177358892
hs5	2955216	3038300
hs5	6095680	6299770
hs5	17712708	17715744
hs5	65107866	65110520
hs5	69385645	73135283
hs5	85147049	85231634
hs5	108231815	113658184
hs5	110670667	111217227
hs5	110787896	110789623
hs5	122936260	122945854
hs5	144132923	144135488
hs5	164892914	164908788
hs5	167896490	168022990
hs5	176062798	178008056
hs5	179394831	179402504
hs6	19467564	22797787
hs6	32474493	32474781
hs6	32482947	32483781
hs6	32482947	32591658
hs6	32482950	32484886
hs6	32485549	32485877
hs6	32487342	32493143
hs6	32487363	32591658
hs6	32501013	32530979
hs6	32510598	32547136
hs6	32513736	32575773
hs6	32523216	32559205
hs6	32523802	32571260
hs6	32529437	32578771
hs6	32548485	32573821
hs6	35786783	35799011
hs6	43276942	44722904
hs6	52732689	52741778
hs6	55984177	63302052
hs6	76983402	77076557
hs6	97505445	102735663
hs6	98237515	98237863
hs6	101417257	101419501
hs6	107395842	113249307
hs6	113978822	114017617
hs6	129474857	132167569
hs6	137191477	145303923
hs6	138135555	147241071
hs6	139802756	139806559
hs6	148502556	148507306
hs6	149833953	154730090
hs6	149942495	149967346
hs6	150765015	153597395
hs6	170607034	170743762
hs7	5107719	5109632
hs7	12873170	19741397
hs7	44157277	46560805
hs7	45842747	45849439
hs7	63009765	68170786
hs7	70467576	70477824
hs7	70670161	70749943
hs7	75010358	75032435
hs7	76909031	78028800
hs7	91944444	96326626
hs7	98453215	98453527
hs7	102523433	102621462
hs7	111387708	111392194
hs7	113949181	113956791
hs7	142302263	142343282
hs7	148311722	148345062
hs8	12935970	21807244
hs8	15495295	15514628
hs8	25720521	25732346
hs8	27103052	35259786
hs8	54341043	56301743
hs8	57202037	57219614
hs8	71486985	72881589
hs8	79488204	79498628
hs8	79597320	89335093
hs8	85641987	85664222
hs8	85773808	85808115
hs8	85773808	85820306
hs8	89549317	94389856
hs8	92418943	92424852
hs8	108818937	108848455
hs8	111249036	111249176
hs8	119967255	125722924
hs8	127753722	134594392
hs8	135271430	142172851
hs9	2650348	2655876
hs9	5187160	7891974
hs9	8542404	9649935
hs9	12624009	19707561
hs9	16938678	18690233
hs9	27010712	35040301
hs9	27041084	28943782
hs9	34726529	34733184
hs9	42551788	42573583
hs9	62528135	62549954
hs9	107979517	107986836
hs9	110580123	110603507
hs9	124365599	128128843
hs10	8236013	13857439
hs10	8845288	16788079
hs10	42892382	49019062
